"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Test RSA key pair generation.
    
    Verifies that:
    - Both private and public keys are generated successfully
    - Keys are returned as strings
    - Keys have the correct PEM format headers
    ","59","test_generate_key_pair","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:41 GMT 2025","","test_rsa_encryption","",""
"
        get_docker:
        Raises an exception if listing containers fails.
        ","1","test_get_docker_list_exception","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:41 GMT 2025","TestGetDocker","test_miner_container","",""
"
        unpause_container:
        Returns False if no allocation key is retrieved.
        ","1","test_unpause_container_no_allocation_key","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:41 GMT 2025","TestUnpauseContainer","test_miner_container","",""
"
        check_container:
        Returns False when the container name does not match the expected value.
        ","1","test_check_container_not_running","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:41 GMT 2025","TestCheckContainer","test_miner_container","",""
"
        kill_container:
        Kills a running test container.
        ","3","test_kill_container_test_running","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:41 GMT 2025","TestKillContainer","test_miner_container","",""
"
        set_docker_base_size:
        Verifies that the function writes the correct JSON content to /etc/docker/daemon.json
        and calls subprocess.run to restart Docker.
        ","4","test_set_docker_base_size","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:41 GMT 2025","TestSetDockerBaseSize","test_miner_container","",""
"
    Test the complete encryption and decryption cycle.
    
    Verifies that:
    - A message can be encrypted using the public key
    - The encrypted data is in bytes format
    - The original message can be recovered through decryption
    - The decrypted message matches the original input
    ","87","test_encrypt_decrypt","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:41 GMT 2025","","test_rsa_encryption","",""
"
        check_container:
        Returns True when a regular container (with name ""container"") is running.
        ","1","test_check_container_running","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:41 GMT 2025","TestCheckContainer","test_miner_container","",""
"
        kill_container:
        Returns False when get_docker raises an exception.
        ","0","test_kill_container_exception","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:41 GMT 2025","TestKillContainer","test_miner_container","",""
"
        unpause_container:
        Returns False when an exception occurs in get_docker.
        ","1","test_unpause_container_exception","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:41 GMT 2025","TestUnpauseContainer","test_miner_container","",""
"
        unpause_container:
        Returns False when the provided allocation key does not match.
        ","0","test_unpause_container_key_mismatch","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:41 GMT 2025","TestUnpauseContainer","test_miner_container","",""
"
        run_container:
        Should successfully run a new container when all dependencies are met and
        container.status is 'created'. Returns a dict with status True and the encrypted info.
        ","10","test_run_container_success","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:41 GMT 2025","TestRunContainer","test_miner_container","",""
"
        kill_container:
        Kills a running regular container.
        ","2","test_kill_container_regular_running","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:41 GMT 2025","TestKillContainer","test_miner_container","",""
"
        check_container:
        Returns False when an exception is raised during Docker access.
        ","1","test_check_container_exception","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:41 GMT 2025","TestCheckContainer","test_miner_container","",""
"
        pause_container:
        Returns False when no container with the expected name is found.
        ","1","test_pause_container_not_found","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:41 GMT 2025","TestPauseContainer","test_miner_container","",""
"
        pause_container:
        Returns False when an exception occurs in get_docker.
        ","0","test_pause_container_exception","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:41 GMT 2025","TestPauseContainer","test_miner_container","",""
"
        unpause_container:
        Unpauses the container when the allocation key is valid.
        ","1","test_unpause_container_success","tests","Fri Mar 07 19:16:41 GMT 2025","passed","Fri Mar 07 19:16:41 GMT 2025","TestUnpauseContainer","test_miner_container","",""
